ref_area.label,indicator.label,source.label,classif1.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
"Korea, Republic of",Days not worked due to strikes and lockouts by economic activity,ADM - Labour Relations Records,Economic activity (Broad sector): Total,1970,9013,,,,
"Korea, Republic of",Days not worked due to strikes and lockouts by economic activity,ADM - Labour Relations Records,Economic activity (Aggregate): Total,1970,9013,,,,
"Korea, Republic of",Days not worked due to strikes and lockouts by economic activity,ADM - Labour Relations Records,Economic activity (ISIC-Rev.2): Total,1970,9013,,,,
"Korea, Republic of",Days not worked due to strikes and lockouts by economic activity,ADM - Labour Relations Records,"Economic activity (ISIC-Rev.2): 1. Agriculture, Hunting, Forestry and Fishing",1970,0,,,,
"Korea, Republic of",Days not worked due to strikes and lockouts by economic activity,ADM - Labour Relations Records,Economic activity (ISIC-Rev.2): 2. Mining and Quarrying,1970,0,,,,
"Korea, Republic of",Days not worked due to strikes and lockouts by economic activity,ADM - Labour Relations Records,Economic activity (ISIC-Rev.2): 6. Wholesale and Retail Trade and Restaurants and Hotels,1970,0,,,,
"Korea, Republic of",Days not worked due to strikes and lockouts by economic activity,ADM - Labour Relations Records,"Economic activity (ISIC-Rev.2): 7. Transport, Storage and Communication",1970,0,,,,
"Korea, Republic of",Days not worked due to strikes and lockouts by economic activity,ADM - Labour Relations Records,"Economic activity (ISIC-Rev.2): 8. Financing, Insurance, Real Estate and Business Services",1970,0,,,,
"Korea, Republic of",Days not worked due to strikes and lockouts by economic activity,ADM - Labour Relations Records,Economic activity (Broad sector): Total,1971,11323,,,,
"Korea, Republic of",Days not worked due to strikes and lockouts by economic activity,ADM - Labour Relations Records,Economic activity (Aggregate): Total,1971,11323,,,,
"Korea, Republic of",Days not worked due to strikes and lockouts by economic activity,ADM - Labour Relations Records,Economic activity (ISIC-Rev.2): Total,1971,11323,,,,
"Korea, Republic of",Days not worked due to strikes and lockouts by economic activity,ADM - Labour Relations Records,"Economic activity (ISIC-Rev.2): 1. Agriculture, Hunting, Forestry and Fishing",1971,0,,,,
